RecordId,Name,PhdEntityType,TagNo,Active,Description,ParentTag,ClassTag,TagUnits,Tolerance,ToleranceType,Collection,DemandCalculation,ManualInput,PutDownload,DataStore,RangeChkDisable,DataEdit,ArchiveResample,EPKSExceptionTag,FileStream,SourceTag,SourceTagUnits,ScanFrequency,SourceDeadband,HighExtreme,LowExtreme,Quantum,HighHighLimit,HighLimit,LowLimit,LowLowLimit,HighHighEnable,HighEnable,LowEnable,LowLowEnable,SmoothingConstant,CompressionToleranceFactor,MinimumCompressionTolerance,GrossErrorSigmaLimit,GrossErrorSamples,NoiseGateLevel,PercentRecordFill,SpecQueueSize,ExtrapolationDamping,ResampleMethod,SourceTagIndexA,SourceTagIndexB,SourceTagIndexC,SourceTagIndexD,InterpolationMethod,UserDefined1,UserDefined2,ScanTimeStampUnit,TimeStamp,ExtendedSourceTag,Asset,Item,Function,RuleName,SynchronizationEnable,DigitalEnumEnable,DigitalEnumeration,MachineName,CollectorName,SourceSystem,SourceTagType,SourceTagAttribute,SourceName,CompressionSetting,VirtualTagCalculation
1,TDC_PVHITP,T,1,TRUE,TDC CLASS TAG FOR THE PVHITP ATTRIBUTE,,TRUE,,0.5,S,TRUE,,,,TRUE,,,,,,,,86400,,,,,,,,,,,,,,,,,,,,,1,,,,,,S,,,s,,,,,,,,,,,,,,,,-1,
2,TDC_ACPROG,T,2,TRUE,TDC CLASS TAG FOR THE ACPROG ATTRIBUTE,,TRUE,,0.5,S,TRUE,,,,TRUE,,,,,,,,3600,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,s,,,,,,,,,,,,,,,,-1,
3,TDC_EUDESC,T,3,TRUE,TDC CLASS TAG FOR THE EUDESC ATTRIBUTE,,TRUE,,0.5,S,TRUE,,,,TRUE,,,,,,,,86400,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,s,,,,,,,,,,,,,,,,-1,
4,TDC_PTDESC,T,4,TRUE,TDC CLASS TAG FOR THE PTDESC ATTRIBUTE,,TRUE,,0.5,S,TRUE,,,,TRUE,,,,,,,,86400,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,s,,,,,,,,,,,,,,,,-1,
5,TDC_PV,T,5,TRUE,TDC CLASS TAG FOR THE PV ATTRIBUTE,,TRUE,,0.5,S,TRUE,,,,TRUE,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,s,,,,,,,,,,,,,,,,-1,
6,TDC_INH_STAT,T,6,TRUE,TDC CLASS TAG FOR THE INH_STAT ATTRIBUTE,,TRUE,,0.5,S,TRUE,,,,TRUE,,,,,,,,3600,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,s,,,,,,,,,,,,,,,,-1,
7,TDC_SP,T,7,TRUE,TDC CLASS TAG FOR THE SP ATTRIBUTE,,TRUE,,0.5,S,TRUE,,,,TRUE,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,s,,,,,,,,,,,,,,,,-1,
8,TDC_PVLOTP,T,8,TRUE,TDC CLASS TAG FOR THE PVLOTP ATTRIBUTE,,TRUE,,0.5,S,TRUE,,,,TRUE,,,,,,,,86400,,,,,,,,,,,,,,,,,,,,,1,,,,,,S,,,s,,,,,,,,,,,,,,,,-1,
9,TDC_MODE,T,9,TRUE,TDC CLASS TAG FOR THE MODE ATTRIBUTE,,TRUE,,0.5,S,TRUE,,,,TRUE,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,s,,,,,,,,,,,,,,,,-1,
10,TDC_OP,T,10,TRUE,TDC CLASS TAG FOR THE OP ATTRIBUTE,,TRUE,,0.5,S,TRUE,,,,TRUE,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,s,,,,,,,,,,,,,,,,-1,
11,TDC_PVEUHI,T,11,TRUE,TDC CLASS TAG FOR THE PVEUHI ATTRIBUTE,,TRUE,,0.5,S,TRUE,,,,TRUE,,,,,,,,86400,,,,,,,,,,,,,,,,,,,,,1,,,,,,S,,,s,,,,,,,,,,,,,,,,-1,
12,TDC_PVEULO,T,12,TRUE,TDC CLASS TAG FOR THE PVEULO ATTRIBUTE,,TRUE,,0.5,S,TRUE,,,,TRUE,,,,,,,,86400,,,,,,,,,,,,,,,,,,,,,1,,,,,,S,,,s,,,,,,,,,,,,,,,,-1,
13,TDC_HR,T,13,TRUE,TDC CLASS TAG FOR HR ATTRIBUTE,,TRUE,,0.5,S,TRUE,,,,TRUE,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,s,,,,,,,,,,,,,,,,-1,
