Time,Name,Value,Unit,Quality
"04.08.2025 15.08.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_R28_9232LI048,"0,00",,Good: Interpolated
"04.08.2025 17.41.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER2_AIN_32LI444_MEAS,"46,06",m3,Good: Interpolated
"04.08.2025 18.01.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER2_AIN_38LT331_MEAS,"58,19",,Good: Interpolated
"04.08.2025 18.26.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER2_AIN_40LI440_MEAS,"327,35",,Good: Interpolated
"04.08.2025 19.23.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_R26_9232LI046,"1,35",,Good: Interpolated
"04.08.2025 20.39.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER2_AIN_41LI434_MEAS,"13,04",,Good: Interpolated
"04.08.2025 23.18.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER2_AIN_38LT327_MEAS,"-0,17",,Good: Interpolated
"04.08.2025 23.19.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_R23_9232LI043,"0,00",,Good: Interpolated
"05.08.2025 01.02.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Raastofflagring.TANKER1_AIN_40LT384_CHAR_OUT,"22,84",,Good: Interpolated
"05.08.2025 05.17.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER2_AIN_37LT374_MEAS,"232,29",,Good: Interpolated
"05.08.2025 05.57.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER2_AIN_38LT333_MEAS,"16,13",,Good: Interpolated
"05.08.2025 05.57.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_T3_5032LI26,"0,00",m3,Good: Interpolated
"05.08.2025 09.11.57,000",HMI_Unger.HMI_Server:HMI_Server:S_AVD.Lagring_ferdigvare.TANKER3_AIN_38LI579_MEAS,"64,27",,Good: Interpolated
"05.08.2025 11.48.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_T3_5032LI26,"0,00",m3,Good: Interpolated
"05.08.2025 13.22.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_L15_9237LI040,"5,19",m3,Good: Interpolated
"05.08.2025 13.34.57,000",HMI_Unger.HMI_Server:HMI_Server:Tankpark_Nord.Raastofflagring.Nivaa_R23_9232LI043,"0,00",,Good: Interpolated
